Ambiente	CE	DAP	RM_0-5	RM_5=10	HR	P	MO	Ph	Ca	Mg	Na	K	N	ARA	RESP
AG	0.12	1.17	13.5	15.5	0.34	4.55	4.17	5.91	6.8	1.15	0.98	2	0.17	0.11	0.03
AG	0.16	1.21	9	9	0.25	4.89	4.3	5.93	6.55	1.63	0.98	1.09	0.24	0.18	0.06
AG	0.12	1.27	8	12.5	0.15	4.55	4.8	5.86	7.5	1.38	1.1	1.78	0.28	0.01	0.07
AG	0.44	1.24	7.5	10	0.2	17.19	4.4	5.24	6.2	1.85	0.65	1.56	0.21	0.12	0.01
AG	0.49	1.25	7.5	9	0.2	6.33	5.44	6.05	6.6	1.3	0.8	2.15	0.29	0.14	0
AG	0.73	1.15	9	14.5	0.19	4.89	4.4	4.92	6.9	1.45	0.9	1.73	0.29	0.19	0.01
AG	0.19	1.23	2.5	20	0.17	7.63	3.98	4.96	5.65	0.9	0.97	2.1	0.35	0.09	0.01
AG	0.24	1	4.5	19	0.14	13.76	4.19	5.32	5.6	1.18	0.7	2.1	0.31	0.13	0.02
AG	0.13	1.08	4	13	0.15	5.22	5.44	5.03	5.3	1.05	0.9	1.44	0.27	0.13	0.02
AG	0.27	1.43	13	18.5	0.16	4.85	2.93	7.36	7.5	1.23	0.9	1.89	0.24	0.11	0.01
AG	0.22	1.25	10	14.5	0.18	6.89	2.51	5.96	7.15	1.9	0.76	1.93	0.2	0.11	0.01
AG	0.23	1.29	4	8.5	0.15	4.99	2.51	5.93	8.1	1.73	0.94	2.05	0.2	0.15	0.01

